Transaction_ID,Company_ID,Product_ID,Quantity,Transaction_Date,Product_Price,Total_Cost,Product_TargetEncoded
80,91,18,17.0,2021-09-10,147779.85,2284800.0,1476186.311936799
81,61,15,10.0,2024-05-26,105434.58,907200.0,1071302.3598654123
82,73,9,10.0,2021-10-03,118755.57,1792000.0,1231093.5428941457
87,55,15,14.0,2022-07-18,107263.84,1411200.0,1071302.3598654123
88,49,4,5.0,2022-11-07,130556.44,492800.0,1355563.5104012336
89,90,9,3.0,2023-01-02,130556.44,448000.0,1231093.5428941457
94,31,6,7.0,2023-03-23,190251.05,1075200.0,1856597.2982952015
97,57,13,20.0,2023-11-26,206794.28,3724000.0,2013179.87463704
99,97,17,16.0,2022-10-13,152117.77,2520000.0,1786018.55482158
102,17,15,16.0,2021-06-09,104998.95,1713600.0,1071302.3598654123
104,7,19,9.0,2022-09-22,96246.31,952000.0,1030723.8884897787
105,33,2,3.0,2022-07-18,162269.3,504000.0,1768865.4016684268
106,86,11,10.0,2022-08-28,163097.19,2822400.0,1697988.1091706653
107,72,1,6.0,2022-07-01,152513.17,980000.0,1422936.3264696824
110,59,3,1.0,2024-09-25,99870.22,100800.0,1091288.8917313549
112,38,9,18.0,2021-08-11,101680.83,2016000.0,1231093.5428941457
113,7,13,18.0,2021-01-27,191376.32,3528000.0,2013179.87463704
114,51,10,10.0,2024-01-21,84500.05,985600.0,990852.1884552134
115,35,20,12.0,2022-05-04,218875.35,2464000.0,2343629.50363938
116,13,12,17.0,2021-01-12,82159.19,1428000.0,947248.2092651601
117,61,7,9.0,2020-12-01,151139.16,1512000.0,1552845.4166840687
118,54,17,2.0,2023-03-02,176448.56,336000.0,1786018.55482158
120,38,9,6.0,2024-02-06,115681.41,560000.0,1231093.5428941457
122,91,17,15.0,2024-03-08,162506.39,2352000.0,1786018.55482158
123,79,6,18.0,2020-11-16,183310.21,3404800.0,1856597.2982952015
124,19,15,14.0,2024-04-30,92213.84,1411200.0,1071302.3598654123
125,29,17,12.0,2020-11-01,170160.19,1848000.0,1786018.55482158
127,64,5,4.0,2022-11-18,75943.08,252000.0,938836.9053199579
128,32,7,19.0,2023-12-06,144758.72,2721600.0,1552845.4166840687
129,90,12,2.0,2021-01-04,85230.17,168000.0,947248.2092651601
133,98,3,9.0,2024-03-24,97574.64,806400.0,1091288.8917313549
134,51,15,3.0,2023-05-02,107741.13,201600.0,1071302.3598654123
135,70,1,7.0,2021-07-17,145919.93,980000.0,1422936.3264696824
138,29,6,6.0,2022-08-23,189940.48,896000.0,1856597.2982952015
141,76,2,10.0,2024-03-13,177689.48,1512000.0,1768865.4016684268
142,49,13,17.0,2024-05-24,180318.09,3528000.0,2013179.87463704
143,63,9,1.0,2024-06-20,104333.86,224000.0,1231093.5428941457
145,78,14,18.0,2020-11-11,136794.23,2447200.0,1360495.6962722675
148,84,4,18.0,2023-03-10,126765.34,2217600.0,1355563.5104012336
149,62,12,18.0,2021-10-30,85902.83,1344000.0,947248.2092651601
151,71,17,9.0,2021-10-09,170989.53,1344000.0,1786018.55482158
153,53,14,5.0,2024-08-01,118864.34,772800.0,1360495.6962722675
154,90,20,9.0,2024-03-23,207435.31,2240000.0,2343629.50363938
155,85,15,10.0,2021-05-05,95524.86,1209600.0,1071302.3598654123
157,7,15,5.0,2023-02-13,103765.03,1344000.0,1071302.3598654123
158,86,19,10.0,2024-07-18,100538.63,761600.0,1030723.8884897787
159,95,3,6.0,2023-06-18,110717.1,504000.0,1091288.8917313549
160,55,11,4.0,2023-10-19,162599.64,470400.0,1697988.1091706653
163,46,15,13.0,2021-11-03,97515.92,1209600.0,1071302.3598654123
165,83,9,4.0,2021-09-18,115048.56,336000.0,1231093.5428941457
167,80,9,15.0,2024-01-10,106817.1,1568000.0,1231093.5428941457
168,37,14,5.0,2021-02-05,141345.31,515200.0,1360495.6962722675
170,75,2,8.0,2024-10-03,183736.97,1344000.0,1768865.4016684268
172,68,2,3.0,2023-06-10,157598.61,504000.0,1768865.4016684268
173,39,4,10.0,2024-06-29,119667.62,1355200.0,1355563.5104012336
175,16,17,3.0,2023-09-15,172265.8,672000.0,1786018.55482158
178,37,4,14.0,2023-07-11,133726.74,1724800.0,1355563.5104012336
183,26,11,3.0,2022-10-10,154776.32,627200.0,1697988.1091706653
185,60,3,15.0,2021-07-25,106410.57,1512000.0,1091288.8917313549
186,91,2,10.0,2021-02-16,169460.61,840000.0,1768865.4016684268
187,67,17,14.0,2023-08-03,162040.23,2184000.0,1786018.55482158
188,65,6,9.0,2021-06-20,192154.58,1792000.0,1856597.2982952015
191,92,14,10.0,2022-04-10,134999.1,1932000.0,1360495.6962722675
192,57,11,9.0,2023-04-07,170576.62,1254400.0,1697988.1091706653
193,91,3,21.0,2023-05-11,130556.44,2016000.0,1091288.8917313549
194,80,2,10.0,2022-06-13,176375.15,336000.0,1768865.4016684268
196,89,15,15.0,2023-08-31,91112.58,1612800.0,1071302.3598654123
198,19,11,9.0,2023-09-30,148443.11,1254400.0,1697988.1091706653
200,82,10,6.0,2022-05-14,94861.93,537600.0,990852.1884552134
201,67,14,4.0,2022-10-18,130556.44,644000.0,1360495.6962722675
205,12,20,8.0,2022-11-27,223852.34,1792000.0,2343629.50363938
206,35,18,12.0,2021-08-11,126095.4,1612800.0,1476186.311936799
208,46,20,16.0,2023-12-10,209254.8,3360000.0,2343629.50363938
209,45,6,10.0,2023-06-14,181652.85,2867200.0,1856597.2982952015
211,46,10,2.0,2022-05-08,84047.06,268800.0,990852.1884552134
212,87,13,16.0,2021-01-23,211328.06,3332000.0,2013179.87463704
213,63,9,16.0,2021-12-08,112190.77,1904000.0,1231093.5428941457
214,34,6,7.0,2024-07-14,183081.41,1254400.0,1856597.2982952015
217,37,20,2.0,2022-11-09,213890.42,224000.0,2343629.50363938
218,9,13,11.0,2021-08-14,211216.06,2156000.0,2013179.87463704
224,32,3,17.0,2021-03-04,93527.22,1612800.0,1091288.8917313549
225,35,5,19.0,2021-12-12,77277.21,1344000.0,938836.9053199579
227,19,14,2.0,2024-02-17,130556.44,128800.0,1360495.6962722675
228,4,20,10.0,2021-03-13,229361.35,2016000.0,2343629.50363938
229,72,6,13.0,2023-04-18,161609.89,2150400.0,1856597.2982952015
231,78,3,11.0,2021-06-11,99262.92,1209600.0,1091288.8917313549
233,78,2,10.0,2024-08-08,158952.82,1512000.0,1768865.4016684268
235,1,10,12.0,2024-09-22,82859.53,985600.0,990852.1884552134
236,30,3,10.0,2021-06-13,108277.85,1008000.0,1091288.8917313549
237,83,18,4.0,2023-11-30,133002.42,537600.0,1476186.311936799
238,16,6,15.0,2022-01-10,164753.35,2508800.0,1856597.2982952015
239,96,1,15.0,2022-07-11,144531.36,1960000.0,1422936.3264696824
240,27,14,15.0,2021-09-02,140781.5,1344000.0,1360495.6962722675
242,81,18,16.0,2024-05-22,125126.49,2284800.0,1476186.311936799
243,100,14,6.0,2024-10-16,131782.42,1344000.0,1360495.6962722675
244,89,7,10.0,2022-11-24,142908.62,1965600.0,1552845.4166840687
246,7,6,17.0,2020-12-15,170846.64,3046400.0,1856597.2982952015
247,90,18,9.0,2022-02-03,128265.16,1344000.0,1476186.311936799
250,37,17,17.0,2024-09-21,172537.18,2856000.0,1786018.55482158
256,19,13,11.0,2022-05-25,203057.93,2352000.0,2013179.87463704
259,96,1,5.0,2022-09-21,136238.14,1344000.0,1422936.3264696824
261,33,6,1.0,2024-09-23,170107.78,358400.0,1856597.2982952015
262,2,13,7.0,2021-11-21,177116.55,1372000.0,2013179.87463704
263,44,18,5.0,2021-04-07,130556.44,806400.0,1476186.311936799
264,5,1,6.0,2024-01-18,130556.44,980000.0,1422936.3264696824
265,34,10,20.0,2021-10-18,97942.94,1792000.0,990852.1884552134
267,71,13,13.0,2023-08-15,130556.44,2548000.0,2013179.87463704
268,68,15,12.0,2024-08-17,130556.44,1209600.0,1071302.3598654123
269,42,4,8.0,2024-08-23,114506.29,862400.0,1355563.5104012336
270,15,12,5.0,2022-12-05,78446.15,504000.0,947248.2092651601
272,41,5,5.0,2024-08-06,80731.9,336000.0,938836.9053199579
273,100,12,10.0,2024-03-19,78146.35,504000.0,947248.2092651601
274,2,10,4.0,2021-07-19,90165.94,1344000.0,990852.1884552134
276,65,6,13.0,2023-10-26,169303.07,2150400.0,1856597.2982952015
278,84,2,17.0,2023-08-01,171267.95,1344000.0,1768865.4016684268
279,91,6,8.0,2021-01-24,176337.4,1612800.0,1856597.2982952015
281,77,20,12.0,2024-08-29,232632.98,2912000.0,2343629.50363938
285,88,19,10.0,2021-12-12,92585.62,1808800.0,1030723.8884897787
286,75,15,3.0,2022-09-03,107770.55,403200.0,1071302.3598654123
287,66,2,8.0,2023-01-27,130556.44,1176000.0,1768865.4016684268
288,16,14,13.0,2021-04-01,132894.09,1803200.0,1360495.6962722675
289,37,14,12.0,2022-09-18,133617.16,1416800.0,1360495.6962722675
290,96,14,10.0,2024-03-07,135237.9,2318400.0,1360495.6962722675
292,97,14,7.0,2023-07-20,120434.78,1030400.0,1360495.6962722675
294,80,6,15.0,2024-01-31,194779.14,2867200.0,1856597.2982952015
295,31,18,20.0,2022-10-04,129706.56,2553600.0,1476186.311936799
296,68,13,16.0,2022-11-17,210348.92,3332000.0,2013179.87463704
298,93,9,11.0,2022-01-06,101746.78,1344000.0,1231093.5428941457
299,10,12,4.0,2023-09-02,91571.69,420000.0,947248.2092651601
302,61,5,8.0,2024-04-11,89666.52,672000.0,938836.9053199579
303,64,5,9.0,2024-10-01,76620.77,1344000.0,938836.9053199579
304,16,19,14.0,2021-03-26,102502.18,1332800.0,1030723.8884897787
306,85,9,5.0,2022-01-12,117535.79,448000.0,1231093.5428941457
308,82,13,11.0,2021-03-05,179863.35,1960000.0,2013179.87463704
310,90,20,2.0,2023-12-15,241461.37,224000.0,2343629.50363938
311,64,11,12.0,2021-03-27,155824.66,1724800.0,1697988.1091706653
312,57,5,10.0,2023-12-16,91881.95,1176000.0,938836.9053199579
314,39,12,10.0,2021-09-11,91340.59,672000.0,947248.2092651601
317,72,6,12.0,2024-02-14,130556.44,2329600.0,1856597.2982952015
319,50,6,11.0,2024-08-19,162221.24,1971200.0,1856597.2982952015
320,93,10,11.0,2022-10-04,96047.73,896000.0,990852.1884552134
321,30,15,7.0,2022-11-24,109446.56,705600.0,1071302.3598654123
324,81,10,15.0,2022-09-29,85279.42,1344000.0,990852.1884552134
325,53,4,13.0,2022-10-14,118460.24,1478400.0,1355563.5104012336
326,96,20,11.0,2022-08-11,223283.51,2240000.0,2343629.50363938
328,34,19,10.0,2024-07-18,97158.74,380800.0,1030723.8884897787
329,41,9,15.0,2024-05-09,112494.7,1344000.0,1231093.5428941457
330,23,2,18.0,2021-02-17,154294.77,2856000.0,1768865.4016684268
332,92,19,8.0,2023-11-25,104687.93,761600.0,1030723.8884897787
333,72,19,7.0,2022-07-01,87217.06,571200.0,1030723.8884897787
334,60,10,1.0,2021-02-03,85528.45,179200.0,990852.1884552134
336,2,5,15.0,2021-12-15,85929.97,1344000.0,938836.9053199579
337,5,6,4.0,2023-09-07,170896.3,537600.0,1856597.2982952015
338,90,9,5.0,2023-09-17,116048.83,672000.0,1231093.5428941457
340,97,7,14.0,2023-06-03,148783.99,2116800.0,1552845.4166840687
342,47,1,2.0,2022-11-16,132492.39,420000.0,1422936.3264696824
345,89,14,16.0,2024-09-17,132648.12,1932000.0,1360495.6962722675
347,23,18,15.0,2021-09-19,140079.92,1881600.0,1476186.311936799
351,27,1,12.0,2023-04-03,143468.38,1344000.0,1422936.3264696824
352,49,15,2.0,2022-06-17,101023.32,100800.0,1071302.3598654123
353,94,2,14.0,2023-03-24,169074.8,2352000.0,1768865.4016684268
354,45,3,19.0,2023-05-10,96333.82,1814400.0,1091288.8917313549
355,96,6,14.0,2021-01-24,189201.52,2508800.0,1856597.2982952015
358,80,18,10.0,2024-06-25,129055.87,1344000.0,1476186.311936799
361,93,3,20.0,2022-11-16,91156.79,2016000.0,1091288.8917313549
362,70,15,13.0,2021-09-02,107991.28,1310400.0,1071302.3598654123
364,12,4,10.0,2022-10-11,117303.57,2464000.0,1355563.5104012336
365,9,7,12.0,2022-07-21,144951.18,1814400.0,1552845.4166840687
369,23,6,8.0,2022-01-28,180208.39,1254400.0,1856597.2982952015
371,60,10,12.0,2021-09-06,91322.25,985600.0,990852.1884552134
374,47,18,4.0,2021-10-27,140797.4,403200.0,1476186.311936799
375,48,1,12.0,2023-06-08,150144.94,1680000.0,1422936.3264696824
377,24,17,19.0,2021-06-30,183313.34,1344000.0,1786018.55482158
378,60,6,7.0,2023-03-03,190095.19,1433600.0,1856597.2982952015
379,79,20,13.0,2023-04-03,228690.94,2912000.0,2343629.50363938
380,86,14,19.0,2022-09-25,130927.98,2576000.0,1360495.6962722675
381,45,6,14.0,2022-04-16,193178.04,2688000.0,1856597.2982952015
387,83,14,10.0,2024-01-17,117567.96,1932000.0,1360495.6962722675
391,55,4,8.0,2021-01-07,112858.9,1108800.0,1355563.5104012336
392,23,6,13.0,2021-01-19,193116.84,2508800.0,1856597.2982952015
394,96,5,8.0,2021-01-27,75705.21,588000.0,938836.9053199579
395,81,11,13.0,2021-10-18,162373.48,1344000.0,1697988.1091706653
396,73,14,7.0,2021-10-19,130692.87,1030400.0,1360495.6962722675
397,3,18,20.0,2024-02-11,146532.51,2553600.0,1476186.311936799
398,67,19,3.0,2024-11-08,85879.18,190400.0,1030723.8884897787
400,91,20,10.0,2022-12-23,209887.12,4032000.0,2343629.50363938
401,25,11,10.0,2022-01-02,150549.13,1724800.0,1697988.1091706653
403,31,2,10.0,2021-02-27,183010.27,840000.0,1768865.4016684268
406,30,15,11.0,2022-08-16,130556.44,1209600.0,1071302.3598654123
411,83,14,20.0,2022-06-27,141512.84,2447200.0,1360495.6962722675
413,66,6,14.0,2022-11-08,195891.0,2688000.0,1856597.2982952015
418,53,20,18.0,2023-05-08,224935.86,4032000.0,2343629.50363938
420,78,5,10.0,2023-11-24,84553.47,84000.0,938836.9053199579
422,20,10,2.0,2022-03-15,82112.76,268800.0,990852.1884552134
424,84,2,4.0,2022-10-15,160801.69,840000.0,1768865.4016684268
425,61,10,9.0,2023-12-08,83380.99,716800.0,990852.1884552134
426,25,1,10.0,2024-06-15,130169.22,560000.0,1422936.3264696824
427,50,13,4.0,2024-09-18,201636.08,588000.0,2013179.87463704
428,67,14,6.0,2021-06-28,137828.04,772800.0,1360495.6962722675
430,83,7,4.0,2022-06-05,155287.79,453600.0,1552845.4166840687
431,35,10,10.0,2023-06-13,130556.44,1254400.0,990852.1884552134
432,65,7,7.0,2023-03-16,158094.62,1058400.0,1552845.4166840687
433,82,10,2.0,2022-04-07,85186.26,179200.0,990852.1884552134
434,48,6,8.0,2021-02-23,130556.44,1612800.0,1856597.2982952015
436,38,12,5.0,2024-05-06,78457.88,420000.0,947248.2092651601
438,25,14,8.0,2022-07-10,132068.61,901600.0,1360495.6962722675
439,85,11,19.0,2022-04-22,165903.84,3136000.0,1697988.1091706653
440,42,9,10.0,2022-03-03,101884.58,1568000.0,1231093.5428941457
442,41,12,17.0,2022-05-18,82487.52,1344000.0,947248.2092651601
446,19,15,19.0,2021-04-26,102232.38,1915200.0,1071302.3598654123
447,10,12,15.0,2022-11-02,90041.75,1344000.0,947248.2092651601
448,85,12,12.0,2024-03-24,90883.0,924000.0,947248.2092651601
450,25,7,13.0,2023-07-27,139914.76,1965600.0,1552845.4166840687
451,61,4,6.0,2023-07-19,120120.42,616000.0,1355563.5104012336
452,81,9,4.0,2022-11-09,115869.65,560000.0,1231093.5428941457
454,20,7,17.0,2022-06-12,155678.46,2721600.0,1552845.4166840687
458,44,11,15.0,2021-10-31,167102.86,2195200.0,1697988.1091706653
459,97,18,15.0,2023-03-15,125257.22,2150400.0,1476186.311936799
460,17,15,8.0,2023-01-18,93953.64,1344000.0,1071302.3598654123
462,70,12,16.0,2023-08-31,83296.34,1344000.0,947248.2092651601
463,84,4,10.0,2022-04-17,130556.44,1848000.0,1355563.5104012336
464,3,5,10.0,2022-06-15,130556.44,84000.0,938836.9053199579
465,62,7,3.0,2022-09-16,163419.63,604800.0,1552845.4166840687
466,9,7,12.0,2022-12-19,165951.88,1965600.0,1552845.4166840687
468,57,12,3.0,2020-11-21,87951.64,168000.0,947248.2092651601
470,31,5,18.0,2024-04-17,85837.87,1344000.0,938836.9053199579
471,33,4,20.0,2022-01-28,116123.39,2464000.0,1355563.5104012336
474,65,4,10.0,2024-10-20,116961.36,492800.0,1355563.5104012336
475,29,7,7.0,2021-06-24,144184.92,1209600.0,1552845.4166840687
476,81,3,18.0,2021-12-18,92558.36,1814400.0,1091288.8917313549
477,25,15,19.0,2022-07-09,110264.69,1814400.0,1071302.3598654123
478,71,12,7.0,2024-01-14,77981.98,588000.0,947248.2092651601
479,7,7,12.0,2023-07-03,130556.44,1814400.0,1552845.4166840687
483,35,10,3.0,2023-12-24,97416.95,358400.0,990852.1884552134
484,91,18,9.0,2022-09-03,124499.04,1344000.0,1476186.311936799
485,9,9,9.0,2021-09-29,121987.69,1120000.0,1231093.5428941457
486,83,3,2.0,2021-12-02,102059.6,1344000.0,1091288.8917313549
487,26,11,10.0,2021-09-25,130556.44,1411200.0,1697988.1091706653
488,79,12,15.0,2022-11-15,87081.21,1260000.0,947248.2092651601
490,24,3,10.0,2022-10-02,106247.07,302400.0,1091288.8917313549
493,89,9,7.0,2023-12-13,115005.1,784000.0,1231093.5428941457
494,57,10,10.0,2022-05-09,83105.38,896000.0,990852.1884552134
497,64,9,10.0,2022-10-19,130556.44,1344000.0,1231093.5428941457
499,31,11,10.0,2023-04-03,161628.54,940800.0,1697988.1091706653
501,48,12,3.0,2024-02-19,92372.45,336000.0,947248.2092651601
503,59,5,6.0,2021-07-20,90295.91,420000.0,938836.9053199579
505,21,19,6.0,2023-05-20,97872.96,666400.0,1030723.8884897787
508,76,13,5.0,2023-03-16,190133.48,1176000.0,2013179.87463704
510,61,2,20.0,2023-09-16,130556.44,3192000.0,1768865.4016684268
511,72,3,6.0,2024-09-09,108919.83,705600.0,1091288.8917313549
513,31,9,12.0,2021-06-15,117519.21,1232000.0,1231093.5428941457
515,39,17,16.0,2021-07-09,130556.44,1344000.0,1786018.55482158
516,97,18,6.0,2024-03-12,126969.72,806400.0,1476186.311936799
517,4,12,11.0,2022-08-11,130556.44,924000.0,947248.2092651601
518,73,7,18.0,2021-07-03,150348.33,2570400.0,1552845.4166840687
520,2,20,9.0,2024-07-21,209110.61,2240000.0,2343629.50363938
522,86,4,7.0,2022-03-11,117911.5,862400.0,1355563.5104012336
523,92,9,10.0,2022-08-24,115631.45,672000.0,1231093.5428941457
526,38,20,13.0,2023-02-10,229308.28,3136000.0,2343629.50363938
527,30,10,7.0,2023-11-21,89239.95,716800.0,990852.1884552134
528,49,14,15.0,2024-04-14,128983.04,1803200.0,1360495.6962722675
529,75,20,14.0,2022-03-11,222857.57,3136000.0,2343629.50363938
532,72,3,2.0,2024-04-28,101232.01,201600.0,1091288.8917313549
534,37,9,5.0,2024-11-10,121950.76,672000.0,1231093.5428941457
537,83,19,13.0,2024-04-18,87101.68,1142400.0,1030723.8884897787
544,46,12,8.0,2021-04-08,77452.67,588000.0,947248.2092651601
546,71,13,18.0,2022-09-30,208697.62,1344000.0,2013179.87463704
548,42,9,1.0,2023-08-20,113423.26,112000.0,1231093.5428941457
550,26,15,17.0,2023-01-15,98507.66,1612800.0,1071302.3598654123
551,19,17,10.0,2024-04-13,181933.82,3024000.0,1786018.55482158
552,60,4,14.0,2022-12-20,117183.67,1601600.0,1355563.5104012336
553,5,14,8.0,2022-06-26,124308.01,1159200.0,1360495.6962722675
554,98,2,4.0,2024-07-19,172417.08,672000.0,1768865.4016684268
556,79,15,14.0,2021-01-31,130556.44,1344000.0,1071302.3598654123
557,93,14,17.0,2022-02-18,130556.44,2060800.0,1360495.6962722675
558,58,19,15.0,2022-11-16,88981.83,1332800.0,1030723.8884897787
562,87,10,6.0,2023-05-08,87740.0,537600.0,990852.1884552134
563,65,7,19.0,2020-12-17,162536.64,3024000.0,1552845.4166840687
564,9,13,16.0,2024-03-12,198114.83,2940000.0,2013179.87463704
565,48,2,7.0,2024-07-03,177270.94,1344000.0,1768865.4016684268
567,95,10,10.0,2023-05-01,90668.85,896000.0,990852.1884552134
570,81,4,8.0,2021-12-24,122170.78,862400.0,1355563.5104012336
572,47,5,1.0,2022-05-03,78413.06,168000.0,938836.9053199579
573,23,15,20.0,2023-12-21,100377.61,1915200.0,1071302.3598654123
574,71,11,10.0,2024-04-07,158075.94,1724800.0,1697988.1091706653
576,35,2,9.0,2024-02-18,130556.44,1680000.0,1768865.4016684268
577,66,17,3.0,2020-11-16,176768.55,336000.0,1786018.55482158
578,7,1,14.0,2024-01-19,128525.11,1820000.0,1422936.3264696824
579,41,1,9.0,2022-04-12,152410.87,1260000.0,1422936.3264696824
580,9,5,10.0,2023-10-21,79109.39,672000.0,938836.9053199579
584,27,11,7.0,2023-12-25,153991.99,1254400.0,1697988.1091706653
585,7,1,10.0,2022-02-18,150103.56,1400000.0,1422936.3264696824
588,5,4,4.0,2022-12-21,130001.66,369600.0,1355563.5104012336
589,84,4,19.0,2024-09-18,125924.87,2340800.0,1355563.5104012336
593,25,10,15.0,2023-01-23,83453.26,1433600.0,990852.1884552134
594,39,20,10.0,2024-03-20,226875.1,1344000.0,2343629.50363938
597,5,20,12.0,2021-08-15,211476.81,1344000.0,2343629.50363938
598,19,10,12.0,2023-05-19,98510.85,985600.0,990852.1884552134
599,69,15,10.0,2021-08-26,102113.92,806400.0,1071302.3598654123
600,76,5,12.0,2023-04-08,82466.56,1092000.0,938836.9053199579
601,81,13,10.0,2022-03-11,197784.03,1764000.0,2013179.87463704
605,66,11,20.0,2024-03-10,145932.46,3136000.0,1697988.1091706653
606,25,13,15.0,2023-04-07,196614.03,1344000.0,2013179.87463704
608,78,15,18.0,2022-04-15,98763.05,1713600.0,1071302.3598654123
609,73,18,7.0,2022-02-20,130556.44,1075200.0,1476186.311936799
611,34,17,13.0,2024-05-02,152767.67,2352000.0,1786018.55482158
612,25,13,13.0,2024-05-19,206668.6,2744000.0,2013179.87463704
613,92,11,10.0,2024-02-24,130556.44,1568000.0,1697988.1091706653
614,75,20,16.0,2024-05-31,230966.88,3584000.0,2343629.50363938
615,9,6,10.0,2023-05-04,178053.38,2508800.0,1856597.2982952015
616,92,9,10.0,2022-07-12,107245.63,784000.0,1231093.5428941457
619,48,1,12.0,2024-08-04,149596.18,1820000.0,1422936.3264696824
623,29,2,10.0,2023-02-15,168214.21,1344000.0,1768865.4016684268
625,85,10,14.0,2022-02-18,130556.44,1164800.0,990852.1884552134
626,60,3,5.0,2023-07-11,91779.78,604800.0,1091288.8917313549
627,98,13,16.0,2022-06-19,199048.52,2940000.0,2013179.87463704
630,92,18,6.0,2020-12-21,132682.21,806400.0,1476186.311936799
631,13,14,12.0,2021-09-17,126257.13,1545600.0,1360495.6962722675
633,77,3,15.0,2021-02-09,102206.22,1512000.0,1091288.8917313549
634,89,11,10.0,2020-11-21,162539.51,1411200.0,1697988.1091706653
635,84,3,11.0,2023-09-21,96519.47,1108800.0,1091288.8917313549
636,75,11,13.0,2023-08-11,169947.97,2195200.0,1697988.1091706653
637,20,13,10.0,2023-07-04,185011.69,1344000.0,2013179.87463704
642,27,15,10.0,2021-01-14,109043.4,1612800.0,1071302.3598654123
643,94,13,10.0,2023-03-22,203397.44,1344000.0,2013179.87463704
644,92,3,2.0,2022-09-28,106745.73,1344000.0,1091288.8917313549
645,67,20,2.0,2022-04-08,214481.28,672000.0,2343629.50363938
646,11,2,14.0,2022-03-14,153028.19,2520000.0,1768865.4016684268
648,7,9,7.0,2022-10-18,130556.44,672000.0,1231093.5428941457
649,70,12,7.0,2024-07-13,130556.44,672000.0,947248.2092651601
